Language,Afar ,aa ,aar ,aar ,Afaraf 
Language,Abkhaz ,ab ,abk ,abk ,"аҧсуа бызшәа, аҧсшәа "
Language,Avestan ,ae ,ave ,ave ,avesta 
Language,Afrikaans ,af ,afr ,afr ,Afrikaans 
Language,Akan ,ak ,aka ,aka ,Akan 
Language,Amharic ,am ,amh ,amh ,አማርኛ 
Language,Aragonese ,an ,arg ,arg ,aragonés 
Language,Arabic ,ar ,ara ,ara ,العربية 
Language,Assamese ,as ,asm ,asm ,অসমীয়া 
Language,Avaric ,av ,ava ,ava ,"авар мацӀ, магӀарул мацӀ "
Language,Aymara ,ay ,aym ,aym ,aymar aru 
Language,Azerbaijani ,az ,aze ,aze ,azərbaycan dili 
Language,South Azerbaijani ,az ,azb ,azb ,تورکجه 
Language,Bashkir ,ba ,bak ,bak ,башҡорт теле 
Language,Belarusian ,be ,bel ,bel ,беларуская мова 
Language,Bulgarian ,bg ,bul ,bul ,български език 
Language,Bihari ,bh ,bih ,bih ,भोजपुरी 
Language,Bislama ,bi ,bis ,bis ,Bislama 
Language,Bambara ,bm ,bam ,bam ,bamanankan 
Language,Bengali; Bangla ,bn ,ben ,ben ,বাংলা 
Language,"Tibetan Standard, Tibetan, Central ",bo ,bod ,tib ,བོད་ཡིག 
Language,Breton ,br ,bre ,bre ,brezhoneg 
Language,Bosnian ,bs ,bos ,bos ,bosanski jezik 
Language,Catalan; Valencian ,ca ,cat ,cat ,"català, valencià "
Language,Chechen ,ce ,che ,che ,нохчийн мотт 
Language,Chamorro ,ch ,cha ,cha ,Chamoru 
Language,Corsican ,co ,cos ,cos ,"corsu, lingua corsa "
Language,Cree ,cr ,cre ,cre ,ᓀᐦᐃᔭᐍᐏᐣ 
Language,Czech ,cs ,ces ,cze ,"čeština, český jazyk "
Language,"Old Church Slavonic, Church Slavonic, Old Bulgarian ",cu ,chu ,chu ,ѩзыкъ словѣньскъ 
Language,Chuvash ,cv ,chv ,chv ,чӑваш чӗлхи 
Language,Welsh ,cy ,cym ,wel ,Cymraeg 
Language,Danish ,da ,dan ,dan ,dansk 
Language,German ,de ,deu ,ger ,Deutsch 
Language,Divehi; Dhivehi; Maldivian; ,dv ,div ,div ,ދިވެހި 
Language,Dzongkha ,dz ,dzo ,dzo ,རྫོང་ཁ 
Language,Ewe ,ee ,ewe ,ewe ,Eʋegbe 
Language,"Greek, Modern ",el ,ell ,gre ,ελληνικά 
Language,English ,en ,eng ,eng ,English 
Language,Esperanto ,eo ,epo ,epo ,Esperanto 
Language,Spanish; Castilian ,es ,spa ,spa ,"español, castellano "
Language,Estonian ,et ,est ,est ,"eesti, eesti keel "
Language,Basque ,eu ,eus ,baq ,"euskara, euskera "
Language,Persian (Farsi) ,fa ,fas ,per ,فارسی 
Language,Fula; Fulah; Pulaar; Pular ,ff ,ful ,ful ,"Fulfulde, Pulaar, Pular "
Language,Finnish ,fi ,fin ,fin ,"suomi, suomen kieli "
Language,Fijian ,fj ,fij ,fij ,vosa Vakaviti 
Language,Faroese ,fo ,fao ,fao ,føroyskt 
Language,French ,fr ,fra ,fre ,"français, langue française "
Language,Western Frisian ,fy ,fry ,fry ,Frysk 
Language,Irish ,ga ,gle ,gle ,Gaeilge 
Language,Scottish Gaelic; Gaelic ,gd ,gla ,gla ,Gàidhlig 
Language,Galician ,gl ,glg ,glg ,galego 
Language,Guaraní ,gn ,grn ,grn ,Avañe'ẽ 
Language,Gujarati ,gu ,guj ,guj ,ગુજરાતી 
Language,Manx ,gv ,glv ,glv ,"Gaelg, Gailck "
Language,Hausa ,ha ,hau ,hau ,"Hausa, هَوُسَ "
Language,Hebrew (modern) ,he ,heb ,heb ,עברית 
Language,Hindi ,hi ,hin ,hin ,"हिन्दी, हिंदी "
Language,Hiri Motu ,ho ,hmo ,hmo ,Hiri Motu 
Language,Croatian ,hr ,hrv ,hrv ,hrvatski jezik 
Language,Haitian; Haitian Creole ,ht ,hat ,hat ,Kreyòl ayisyen 
Language,Hungarian ,hu ,hun ,hun ,magyar 
Language,Armenian ,hy ,hye ,arm ,Հայերեն 
Language,Herero ,hz ,her ,her ,Otjiherero 
Language,Interlingua ,ia ,ina ,ina ,Interlingua 
Language,Indonesian ,id ,ind ,ind ,Bahasa Indonesia 
Language,Interlingue ,ie ,ile ,ile ,Originally called Occidental; then Interlingue after WWII 
Language,Igbo ,ig ,ibo ,ibo ,Asụsụ Igbo 
Language,Nuosu ,ii ,iii ,iii ,ꆈꌠ꒿ Nuosuhxop 
Language,Inupiaq ,ik ,ipk ,ipk ,"Iñupiaq, Iñupiatun "
Language,Ido ,io ,ido ,ido ,Ido 
